prioridad,segmento,dolor_principal,oferta_inicial,donde_encontrarlos,busqueda_exacta,meta_semanal,primer_mensaje_sugerido,estado
0,Betina Potap - Alimentos Naturales (cliente 1),Pedidos y catalogo B2B manuales,Automatizar pedidos + seguimiento y documentar caso de exito,Casa :),-,esta semana,-,en curso
0,Red del proyecto Betina (dieteticas / coworkings / distribuidores),Pedidos por WhatsApp cargados a mano,Bot de pedidos + carga automatica a planilla,betina-potap/prospectos-tanda1.csv,-,5 contactos,"Hola! Soy Tomas, trabajo con Betina Potap (alimentos naturales). Ademas de eso automatizo la atencion y los pedidos por WhatsApp de negocios como el tuyo. Te muestro 10 min como funcionaria en tu negocio?",por contactar
0,Circulo cercano (conocidos con negocio),Variado,Diagnostico gratis de 30 min,Familia / amigos / conocidos,-,3 charlas,"Hola! Estoy arrancando Draling, automatizo tareas repetitivas de negocios con IA. Puedo hacerte un diagnostico gratis para ver que se puede automatizar en el tuyo? Me sirve para practicar y a vos te queda el analisis",por contactar
1,Dieteticas y alimentos naturales CABA,Consultas y pedidos por WhatsApp todo el dia,Bot WhatsApp: precios + stock + toma de pedidos,Google Maps + Instagram,"""dietetica"" + barrio (Belgrano, Nunez, Palermo, Caballito)",10 contactos,"Hola! Vi que manejan pedidos por WhatsApp. Armo asistentes con IA que responden precios y toman pedidos solos 24/7 (trabajo con negocios de alimentos naturales). Les muestro una demo de 10 min?",por contactar
1,Distribuidoras y mayoristas chicos,Toma de pedidos B2B a mano + cobranzas,Carga automatica de pedidos + recordatorios de cobro,Google Maps + red de Betina,"""distribuidora alimentos"" CABA / zona norte",5 contactos,"Hola! Automatizo la toma de pedidos por WhatsApp para distribuidoras: el pedido llega y se carga solo a la planilla, sin errores. Les ahorra horas por semana. Puedo mostrarles como con sus propios pedidos?",por contactar
1,Gastronomia (delivery / cafes / restaurantes),Pedidos y reservas fuera de horario perdidos,Bot de pedidos y reservas 24/7,Google Maps + Instagram + Rappi/PedidosYa,"""restaurante"" / ""cafe de especialidad"" + barrio",10 contactos,"Hola! Cuantos pedidos les llegan por WhatsApp cuando estan cerrados o a full? Armo asistentes que responden y toman el pedido solos. Demo gratis de 10 min cuando quieran",por contactar
2,Clinicas / consultorios / estetica,Turnos: agendar confirmar y recordar (ausentismo),Recordatorio automatico de turnos (baja ausencias),Google Maps + Instagram,"""centro de estetica"" / ""consultorio odontologico"" + barrio",8 contactos,"Hola! Cuantos turnos pierden por semana porque el paciente no vino? Armo recordatorios automaticos por WhatsApp que confirman el turno solos. Se paga con 2 ausencias evitadas. Les cuento?",por contactar
2,Gimnasios y estudios (yoga / pilates / crossfit),Consultas repetidas + cobros mensuales,Respuestas automaticas + recordatorio de cuota,Google Maps + Instagram,"""gimnasio"" / ""estudio de pilates"" + barrio",8 contactos,"Hola! Automatizo dos cosas que a los gimnasios les roban tiempo: responder siempre las mismas consultas (horarios, precios) y recordar cuotas vencidas. Todo por WhatsApp, solo. Les muestro?",por contactar
2,Inmobiliarias chicas,Consultas de portales sin responder = comision perdida,Respuesta instantanea + precalificacion + agenda de visitas,Google Maps + Zonaprop/Argenprop,"""inmobiliaria"" + barrio",8 contactos,"Hola! Cuando alguien consulta por una propiedad y no le responden en minutos, consulta la siguiente. Armo asistentes que responden al instante, precalifican y agendan la visita. Demo de 10 min?",por contactar
3,E-commerce chicos (Instagram + TiendaNube),Preguntas repetidas: talles envios stock,Bot de respuestas + seguimiento de carritos,Instagram + TiendaNube,hashtags #emprendimientoargentino #tiendanube + explorar por rubro,8 contactos,"Hola! Vi la tienda y esta buenisima. Cuantas veces por dia responden lo mismo (envios, talles, stock)? Automatizo esas respuestas con IA para que vendan mientras duermen. Les muestro como quedaria?",por contactar
3,Estudios contables y juridicos,Pedir documentos y avisar vencimientos todos los meses,Recordatorios automaticos de vencimientos + recoleccion de docs,LinkedIn + Google Maps,"""estudio contable"" + barrio / LinkedIn: contador CABA",5 contactos,"Hola! Automatizo el recordatorio de vencimientos y el pedido de documentacion a clientes (lo que el estudio persigue todos los meses). Cero perseguidas, todo por WhatsApp automatico. Le interesa verlo 15 min?",por contactar
3,Startups chicas y agencias de marketing,Operaciones manuales al crecer: reportes onboarding clientes,Automatizaciones internas a medida (reportes, onboarding, datos),LinkedIn + comunidades (Slack/Discord de startups AR),LinkedIn: founder / ops startup Argentina,5 contactos,"Hola! Ayudo a equipos chicos a automatizar operaciones (reportes, onboarding, carga de datos) con IA, sin sumar headcount. Si me contas el proceso mas manual que tienen, te digo gratis si se puede automatizar y cuanto saldria",por contactar
